url,page_type,group_id,service_slug,province,visible_main_text_words,h1,indexable,sitemap,inbound_links,trust_issue,in_audit,in_batch11
"/รับซื้อ/รับซื้อทีวี-นครพนม","service-x-location","G-SA-รับซื้อทีวี","รับซื้อทีวี","นครพนม","216","รับซื้อ ทีวีและโทรทัศน์ นครพนม ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อทีวี-นครราชสีมา","service-x-location","G-SA-รับซื้อทีวี","รับซื้อทีวี","นครราชสีมา","222","รับซื้อ ทีวีและโทรทัศน์ นครราชสีมา ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อทีวี-บึงกาฬ","service-x-location","G-SA-รับซื้อทีวี","รับซื้อทีวี","บึงกาฬ","219","รับซื้อ ทีวีและโทรทัศน์ บึงกาฬ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อทีวี-บุรีรัมย์","service-x-location","G-SA-รับซื้อทีวี","รับซื้อทีวี","บุรีรัมย์","219","รับซื้อ ทีวีและโทรทัศน์ บุรีรัมย์ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อทีวี-มหาสารคาม","service-x-location","G-SA-รับซื้อทีวี","รับซื้อทีวี","มหาสารคาม","216","รับซื้อ ทีวีและโทรทัศน์ มหาสารคาม ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อทีวี-มุกดาหาร","service-x-location","G-SA-รับซื้อทีวี","รับซื้อทีวี","มุกดาหาร","219","รับซื้อ ทีวีและโทรทัศน์ มุกดาหาร ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อทีวี-ยโสธร","service-x-location","G-SA-รับซื้อทีวี","รับซื้อทีวี","ยโสธร","216","รับซื้อ ทีวีและโทรทัศน์ ยโสธร ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อทีวี-ร้อยเอ็ด","service-x-location","G-SA-รับซื้อทีวี","รับซื้อทีวี","ร้อยเอ็ด","219","รับซื้อ ทีวีและโทรทัศน์ ร้อยเอ็ด ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อทีวี-เลย","service-x-location","G-SA-รับซื้อทีวี","รับซื้อทีวี","เลย","216","รับซื้อ ทีวีและโทรทัศน์ เลย ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อทีวี-ศรีสะเกษ","service-x-location","G-SA-รับซื้อทีวี","รับซื้อทีวี","ศรีสะเกษ","222","รับซื้อ ทีวีและโทรทัศน์ ศรีสะเกษ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อทีวี-สกลนคร","service-x-location","G-SA-รับซื้อทีวี","รับซื้อทีวี","สกลนคร","216","รับซื้อ ทีวีและโทรทัศน์ สกลนคร ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
